country,year,democracy,monarchy
Liberia,2007,democracy,republic
Liberia,2008,democracy,republic
Liberia,2009,democracy,republic
Liberia,2010,democracy,republic
Liberia,2011,democracy,republic
Liberia,2012,democracy,republic
Ghana,2000,democracy,republic
Ghana,2001,democracy,republic
Ghana,2002,democracy,republic
Ghana,2003,democracy,republic
Ghana,2004,democracy,republic
Ghana,2005,democracy,republic
Ghana,2006,democracy,republic
Ghana,2007,democracy,republic
Ghana,2008,democracy,republic
Ghana,2009,democracy,republic
Ghana,2010,democracy,republic
Ghana,2011,democracy,republic
Ghana,2012,democracy,republic
Togo,2000,autocracy,N/A
Togo,2001,autocracy,N/A
Togo,2002,autocracy,N/A
Togo,2003,autocracy,N/A
Togo,2004,autocracy,N/A
Togo,2005,autocracy,N/A
Togo,2006,autocracy,N/A
Togo,2007,autocracy,N/A
Togo,2008,autocracy,N/A
Togo,2009,autocracy,N/A
Togo,2010,autocracy,N/A
Togo,2011,autocracy,N/A
Togo,2012,autocracy,N/A
Cameroon,2000,autocracy,N/A
Cameroon,2001,autocracy,N/A
Cameroon,2002,autocracy,N/A
Cameroon,2003,autocracy,N/A
Cameroon,2004,autocracy,N/A
Cameroon,2005,autocracy,N/A
Cameroon,2006,autocracy,N/A
Cameroon,2007,autocracy,N/A
Cameroon,2008,autocracy,N/A
Cameroon,2009,autocracy,N/A
Cameroon,2010,autocracy,N/A
Cameroon,2011,autocracy,N/A
Cameroon,2012,autocracy,N/A
Nigeria,2000,autocracy,N/A
Nigeria,2001,autocracy,N/A
Nigeria,2002,autocracy,N/A
Nigeria,2003,autocracy,N/A
Nigeria,2004,autocracy,N/A
Nigeria,2005,autocracy,N/A
Nigeria,2006,autocracy,N/A
Nigeria,2007,autocracy,N/A
Nigeria,2008,autocracy,N/A
Nigeria,2009,autocracy,N/A
Nigeria,2010,autocracy,N/A
Nigeria,2011,autocracy,N/A
Nigeria,2012,autocracy,N/A
Gabon,2000,autocracy,N/A
Gabon,2001,autocracy,N/A
Gabon,2002,autocracy,N/A
Gabon,2003,autocracy,N/A
Gabon,2004,autocracy,N/A
Gabon,2005,autocracy,N/A
Gabon,2006,autocracy,N/A
Gabon,2007,autocracy,N/A
Gabon,2008,autocracy,N/A
Gabon,2009,autocracy,N/A
Gabon,2010,autocracy,N/A
Gabon,2011,autocracy,N/A
Gabon,2012,autocracy,N/A
Chad,2000,autocracy,N/A
Chad,2001,autocracy,N/A
